For the starting case of [2, 2, 2, 3] here are 3 versions of the algorithm, each one preventing more duplicates. It is usefule for 
analysis of which cases couldn't be handeled in each of the versions.


target   # of solutions   all solutions
     1   83               ['((2 + 3) - (2 + 2))', '((2 + 3) - (2 * 2))', '(((2 + 3) - 2) - 2)', '(2 - (2 + (2 - 3)))', '((2 - (2 - 3)) - 2)', '((2 - 2) - (2 - 3))', '((2 - 2) - (2 - 3))', '((3 - 2) + (2 - 2))', '((3 - 2) - (2 - 2))', '((3 - 2) + (2 - 2))', '((3 - 2) - (2 - 2))', '((3 - 2) ÷ (2 ÷ 2))', '((2 ÷ 2) ÷ (3 - 2))', '((3 - 2) * (2 ÷ 2))', '((3 - 2) ÷ (2 ÷ 2))', '((2 ÷ 2) ÷ (3 - 2))', '((3 - 2) * (2 ÷ 2))', '((2 + (3 - 2)) - 2)', '(2 - (2 - (3 - 2)))', '(2 + ((3 - 2) - 2))', '(2 ÷ (2 ÷ (3 - 2)))', '((2 ÷ (3 - 2)) ÷ 2)', '(2 * ((3 - 2) ÷ 2))', '(2 ÷ (2 * (3 - 2)))', '((2 * (3 - 2)) ÷ 2)', '((2 ÷ (2 ÷ 3)) - 2)', '(2 * (2 - (3 ÷ 2)))', '((2 * (3 ÷ 2)) - 2)', '(((2 * 3) ÷ 2) - 2)', '(23 - 22)', '(23 - 22)', '((2 + 3) - (2 + 2))', '(2 + (3 - (2 + 2)))', '(2 - ((2 + 2) - 3))', '(3 + (2 - (2 + 2)))', '(3 - ((2 + 2) - 2))', '(3 - ((2 + 2) ÷ 2))', '((2 - 2) - (2 - 3))', '((2 - 2) + (3 - 2))', '((3 - 2) - (2 - 2))', '(3 - (2 + (2 - 2)))', '(3 - (2 - (2 - 2)))', '(3 + ((2 - 2) - 2))', '((3 + (2 - 2)) - 2)', '((3 - (2 - 2)) - 2)', '((2 - 2) - (2 - 3))', '((2 - 2) + (3 - 2))', '((3 - 2) - (2 - 2))', '(3 - (2 + (2 - 2)))', '(3 - (2 - (2 - 2)))', '(3 + ((2 - 2) - 2))', '((3 + (2 - 2)) - 2)', '((3 - (2 - 2)) - 2)', '(2 ÷ (3 - (2 ÷ 2)))', '((3 - (2 ÷ 2)) ÷ 2)', '((3 ÷ (2 ÷ 2)) - 2)', '((3 * (2 ÷ 2)) - 2)', '((2 ÷ 2) ÷ (3 - 2))', '((3 - 2) ÷ (2 ÷ 2))', '((2 ÷ 2) * (3 - 2))', '(3 ÷ (2 + (2 ÷ 2)))', '((2 + (2 ÷ 2)) ÷ 3)', '(3 - (2 ÷ (2 ÷ 2)))', '(3 - (2 * (2 ÷ 2)))', '(2 ÷ (3 - (2 ÷ 2)))', '((3 - (2 ÷ 2)) ÷ 2)', '((3 ÷ (2 ÷ 2)) - 2)', '((3 * (2 ÷ 2)) - 2)', '((2 ÷ 2) ÷ (3 - 2))', '((3 - 2) ÷ (2 ÷ 2))', '((2 ÷ 2) * (3 - 2))', '(3 ÷ (2 + (2 ÷ 2)))', '((2 + (2 ÷ 2)) ÷ 3)', '(3 - (2 ÷ (2 ÷ 2)))', '(3 - (2 * (2 ÷ 2)))', '((2 + 3) - (2 * 2))', '(3 + (2 - (2 * 2)))', '(3 - ((2 * 2) - 2))', '(3 - ((2 * 2) ÷ 2))', '(2 + (3 - (2 * 2)))', '(2 - ((2 * 2) - 3))', '(23 - 22)', '(23 - 22)']
     2   40               ['(2 ÷ (2 + (2 - 3)))', '(2 * (2 + (2 - 3)))', '((2 ÷ 2) - (2 - 3))', '((2 ÷ 2) - (2 - 3))', '((3 - 2) + (2 ÷ 2))', '((3 - 2) + (2 ÷ 2))', '(2 ÷ (2 - (3 - 2)))', '(2 * (2 - (3 - 2)))', '((2 * 3) - (2 + 2))', '((2 * 3) - (2 * 2))', '(((2 * 3) - 2) - 2)', '(((2 * 3) - 2) ÷ 2)', '((2 * 3) - (2 + 2))', '(2 ÷ ((2 + 2) - 3))', '(2 * ((2 + 2) - 3))', '((2 + (2 + 2)) ÷ 3)', '(2 + ((2 - 2) ÷ 3))', '(2 - ((2 - 2) ÷ 3))', '(2 + (3 * (2 - 2)))', '(2 - (3 * (2 - 2)))', '(2 + ((2 - 2) ÷ 3))', '(2 - ((2 - 2) ÷ 3))', '(2 + (3 * (2 - 2)))', '(2 - (3 * (2 - 2)))', '((3 + (2 ÷ 2)) - 2)', '((3 + (2 ÷ 2)) ÷ 2)', '((2 ÷ 2) - (2 - 3))', '((2 ÷ 2) + (3 - 2))', '(3 - (2 - (2 ÷ 2)))', '(3 + ((2 ÷ 2) - 2))', '((3 + (2 ÷ 2)) - 2)', '((3 + (2 ÷ 2)) ÷ 2)', '((2 ÷ 2) - (2 - 3))', '((2 ÷ 2) + (3 - 2))', '(3 - (2 - (2 ÷ 2)))', '(3 + ((2 ÷ 2) - 2))', '((2 * 3) - (2 * 2))', '((2 + (2 * 2)) ÷ 3)', '(2 ÷ ((2 * 2) - 3))', '(2 * ((2 * 2) - 3))']
     3   29               ['(2 + (2 + (2 - 3)))', '((2 - 3) + (2 + 2))', '((2 - 3) + (2 * 2))', '((2 + 2) - (3 - 2))', '((2 * 2) - (3 - 2))', '(2 + (2 - (3 - 2)))', '(2 - ((3 - 2) - 2))', '((2 + 2) + (2 - 3))', '((2 + 2) - (3 - 2))', '(2 - (3 - (2 + 2)))', '(2 + ((2 + 2) - 3))', '((2 + (2 + 2)) - 3)', '(3 + ((2 - 2) ÷ 2))', '(3 - ((2 - 2) ÷ 2))', '(3 + (2 * (2 - 2)))', '(3 - (2 * (2 - 2)))', '(3 + ((2 - 2) ÷ 2))', '(3 - ((2 - 2) ÷ 2))', '(3 + (2 * (2 - 2)))', '(3 - (2 * (2 - 2)))', '(3 ÷ (2 - (2 ÷ 2)))', '(3 * (2 - (2 ÷ 2)))', '(3 ÷ (2 - (2 ÷ 2)))', '(3 * (2 - (2 ÷ 2)))', '((2 * 2) + (2 - 3))', '((2 * 2) - (3 - 2))', '((2 + (2 * 2)) - 3)', '(2 - (3 - (2 * 2)))', '(2 + ((2 * 2) - 3))']
     4   31               ['((2 + 3) - (2 ÷ 2))', '((2 + 3) - (2 ÷ 2))', '(2 - (2 ÷ (2 - 3)))', '(2 - (2 * (2 - 3)))', '((2 + 2) ÷ (3 - 2))', '((3 - 2) * (2 + 2))', '((2 * 2) ÷ (3 - 2))', '((3 - 2) * (2 * 2))', '(2 + (2 ÷ (3 - 2)))', '(2 * (2 ÷ (3 - 2)))', '(2 ÷ ((3 - 2) ÷ 2))', '(2 + (2 * (3 - 2)))', '(2 * (2 * (3 - 2)))', '(2 ÷ (2 - (3 ÷ 2)))', '((2 + (2 * 3)) ÷ 2)', '((2 + 2) ÷ (3 - 2))', '((2 + 2) * (3 - 2))', '(2 + (3 - (2 ÷ 2)))', '(2 * (3 - (2 ÷ 2)))', '(2 - ((2 ÷ 2) - 3))', '((2 + 3) - (2 ÷ 2))', '(3 + (2 - (2 ÷ 2)))', '(3 - ((2 ÷ 2) - 2))', '(2 + (3 - (2 ÷ 2)))', '(2 * (3 - (2 ÷ 2)))', '(2 - ((2 ÷ 2) - 3))', '((2 + 3) - (2 ÷ 2))', '(3 + (2 - (2 ÷ 2)))', '(3 - ((2 ÷ 2) - 2))', '((2 * 2) ÷ (3 - 2))', '((2 * 2) * (3 - 2))']
     5   70               ['((2 + 3) + (2 - 2))', '((2 + 3) - (2 - 2))', '((2 + 3) + (2 - 2))', '((2 + 3) - (2 - 2))', '((2 + 3) ÷ (2 ÷ 2))', '((2 + 3) * (2 ÷ 2))', '((2 + 3) ÷ (2 ÷ 2))', '((2 + 3) * (2 ÷ 2))', '((2 + (2 + 3)) - 2)', '(2 - (2 - (2 + 3)))', '(2 + ((2 + 3) - 2))', '(2 ÷ (2 ÷ (2 + 3)))', '(2 * ((2 + 3) ÷ 2))', '((2 * (2 + 3)) ÷ 2)', '(2 + (2 - (2 - 3)))', '(2 - ((2 - 3) - 2))', '((2 + 2) - (2 - 3))', '((2 * 2) - (2 - 3))', '((3 - 2) + (2 + 2))', '((3 - 2) + (2 * 2))', '(2 + (2 + (3 - 2)))', '(2 + (2 ÷ (2 ÷ 3)))', '(2 + (2 * (3 ÷ 2)))', '((2 * 3) - (2 ÷ 2))', '((2 * 3) - (2 ÷ 2))', '(2 + ((2 * 3) ÷ 2))', '((2 + 2) - (2 - 3))', '((2 + 2) + (3 - 2))', '((3 + (2 + 2)) - 2)', '(3 - (2 - (2 + 2)))', '(3 + ((2 + 2) - 2))', '(3 + ((2 + 2) ÷ 2))', '((2 * (2 + 2)) - 3)', '((2 - 2) + (2 + 3))', '((2 + 3) - (2 - 2))', '(3 + (2 + (2 - 2)))', '(3 + (2 - (2 - 2)))', '(3 - ((2 - 2) - 2))', '(2 + (3 + (2 - 2)))', '(2 + (3 - (2 - 2)))', '(2 - ((2 - 2) - 3))', '((2 - 2) + (2 + 3))', '((2 + 3) - (2 - 2))', '(3 + (2 + (2 - 2)))', '(3 + (2 - (2 - 2)))', '(3 - ((2 - 2) - 2))', '(2 + (3 + (2 - 2)))', '(2 + (3 - (2 - 2)))', '(2 - ((2 - 2) - 3))', '(2 + (3 ÷ (2 ÷ 2)))', '(2 + (3 * (2 ÷ 2)))', '((2 + 3) ÷ (2 ÷ 2))', '((2 ÷ 2) * (2 + 3))', '((2 * 3) - (2 ÷ 2))', '(3 + (2 ÷ (2 ÷ 2)))', '(3 + (2 * (2 ÷ 2)))', '(2 + (3 ÷ (2 ÷ 2)))', '(2 + (3 * (2 ÷ 2)))', '((2 + 3) ÷ (2 ÷ 2))', '((2 ÷ 2) * (2 + 3))', '((2 * 3) - (2 ÷ 2))', '(3 + (2 ÷ (2 ÷ 2)))', '(3 + (2 * (2 ÷ 2)))', '((2 * 2) - (2 - 3))', '((2 * 2) + (3 - 2))', '(3 - (2 - (2 * 2)))', '(3 + ((2 * 2) - 2))', '(3 + ((2 * 2) ÷ 2))', '((2 * (2 * 2)) - 3)', '((3 + (2 * 2)) - 2)']
     6   72               ['((2 + 3) + (2 ÷ 2))', '((2 + 3) + (2 ÷ 2))', '(2 * ((2 + 3) - 2))', '(2 * (2 - (2 - 3)))', '(2 * (2 + (3 - 2)))', '(2 * (2 ÷ (2 ÷ 3)))', '(2 ÷ ((2 ÷ 3) ÷ 2))', '((2 + 2) ÷ (2 ÷ 3))', '((2 * 2) ÷ (2 ÷ 3))', '((3 ÷ 2) * (2 + 2))', '((3 ÷ 2) * (2 * 2))', '(2 * (2 * (3 ÷ 2)))', '((2 * 3) + (2 - 2))', '((2 * 3) - (2 - 2))', '((2 * 3) + (2 - 2))', '((2 * 3) - (2 - 2))', '((2 * 3) ÷ (2 ÷ 2))', '((2 * 3) * (2 ÷ 2))', '((2 * 3) ÷ (2 ÷ 2))', '((2 * 3) * (2 ÷ 2))', '((2 + (2 * 3)) - 2)', '(2 - (2 - (2 * 3)))', '(2 + ((2 * 3) - 2))', '(2 ÷ (2 ÷ (2 * 3)))', '(2 * ((2 * 3) ÷ 2))', '((2 * (2 * 3)) ÷ 2)', '((2 + 2) ÷ (2 ÷ 3))', '((2 + 2) * (3 ÷ 2))', '((3 * (2 + 2)) ÷ 2)', '(3 * ((2 + 2) - 2))', '(3 ÷ (2 ÷ (2 + 2)))', '(3 * ((2 + 2) ÷ 2))', '((2 - 2) + (2 * 3))', '((2 * 3) - (2 - 2))', '(3 * (2 + (2 - 2)))', '(3 * (2 - (2 - 2)))', '(2 * (3 + (2 - 2)))', '(2 * (3 - (2 - 2)))', '((2 - 2) + (2 * 3))', '((2 * 3) - (2 - 2))', '(3 * (2 + (2 - 2)))', '(3 * (2 - (2 - 2)))', '(2 * (3 + (2 - 2)))', '(2 * (3 - (2 - 2)))', '(2 + (3 + (2 ÷ 2)))', '(2 * (3 ÷ (2 ÷ 2)))', '(2 ÷ ((2 ÷ 2) ÷ 3))', '(2 * (3 * (2 ÷ 2)))', '((2 ÷ 2) + (2 + 3))', '((2 * 3) ÷ (2 ÷ 2))', '((2 ÷ 2) * (2 * 3))', '(3 + (2 + (2 ÷ 2)))', '(3 * (2 ÷ (2 ÷ 2)))', '(3 ÷ ((2 ÷ 2) ÷ 2))', '(3 * (2 * (2 ÷ 2)))', '(2 + (3 + (2 ÷ 2)))', '(2 * (3 ÷ (2 ÷ 2)))', '(2 ÷ ((2 ÷ 2) ÷ 3))', '(2 * (3 * (2 ÷ 2)))', '((2 ÷ 2) + (2 + 3))', '((2 * 3) ÷ (2 ÷ 2))', '((2 ÷ 2) * (2 * 3))', '(3 + (2 + (2 ÷ 2)))', '(3 * (2 ÷ (2 ÷ 2)))', '(3 ÷ ((2 ÷ 2) ÷ 2))', '(3 * (2 * (2 ÷ 2)))', '((2 * 2) ÷ (2 ÷ 3))', '((2 * 2) * (3 ÷ 2))', '(3 * ((2 * 2) - 2))', '(3 ÷ (2 ÷ (2 * 2)))', '(3 * ((2 * 2) ÷ 2))', '((3 * (2 * 2)) ÷ 2)']
     7   5                ['(2 * (2 + (3 ÷ 2)))', '((2 * 3) + (2 ÷ 2))', '((2 * 3) + (2 ÷ 2))', '((2 ÷ 2) + (2 * 3))', '((2 ÷ 2) + (2 * 3))']
     8   13               ['((2 * (2 + 3)) - 2)', '(2 * ((2 * 3) - 2))', '(32 ÷ (2 + 2))', '(32 ÷ (2 * 2))', '((32 ÷ 2) ÷ 2)', '(32 ÷ (2 + 2))', '(2 * (3 + (2 ÷ 2)))', '(2 * (3 + (2 ÷ 2)))', '(32 ÷ (2 * 2))', '((2 + 22) ÷ 3)', '((22 ÷ 2) - 3)', '((2 + 22) ÷ 3)', '((22 ÷ 2) - 3)']
     9   11               ['((2 + 3) + (2 + 2))', '((2 + 3) + (2 * 2))', '(2 + (2 + (2 + 3)))', '((2 + 2) + (2 + 3))', '(2 + (3 + (2 + 2)))', '(3 + (2 + (2 + 2)))', '(3 * (2 + (2 ÷ 2)))', '(3 * (2 + (2 ÷ 2)))', '((2 * 2) + (2 + 3))', '(3 + (2 + (2 * 2)))', '(2 + (3 + (2 * 2)))']
    10   12               ['((2 * 3) + (2 + 2))', '((2 * 3) + (2 * 2))', '(2 + (2 + (2 * 3)))', '((2 * (2 * 3)) - 2)', '(32 - 22)', '(32 - 22)', '((2 + 2) + (2 * 3))', '((3 * (2 + 2)) - 2)', '((2 * 2) + (2 * 3))', '((3 * (2 * 2)) - 2)', '(32 - 22)', '(32 - 22)']
